fs_div,sj_div,account_id,label,amount,verdict,canonical,norm_amount,detail
OFS,CF,dart_AdjustmentsForLossesFromInventoryLiquidation,재고자산처분손실,,정확매핑,재고자산폐기손실,,-
OFS,CF,dart_AdjustmentsForLossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,433011663,정확매핑,지분법손실,433011663.0,-
OFS,CF,dart_AdjustmentsForLossesOnDisposalsOfReceivables,채권처분손실,310369294,정확매핑,매출채권처분손실,310369294.0,-
OFS,CF,dart_AdjustmentsForLossesOnDispositionOfPropertyPlantAndEquipment,유형자산처분손실,,정확매핑,유형자산처분손실조정,,-
OFS,CF,dart_AdjustmentsForLossesOnEvaluationOfDerivativeFinancialAssets,파생금융상품평가손실,,정확매핑,파생금융자산평가손실,,-
OFS,CF,dart_AdjustmentsForLossesOnEvaluationOfFairValueFinancialAssets,당기손익-공정가치측정금융자산평가손실,,정확매핑,FVPL금융자산평가손실조정,,-
OFS,CF,dart_AdjustmentsForLossesOnForeignExchangeTranslations,외화환산손실,62386092,정확매핑,외화환산손실조정,62386092.0,-
OFS,CF,dart_AdjustmentsForLossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,파생금융상품거래손실,27175000,정확매핑,파생상품거래손실 조정,27175000.0,-
OFS,CF,dart_AdjustmentsForProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,,정확매핑,지분법이익(CF),,-
OFS,CF,dart_AdjustmentsForProvisionForSeveranceIndemnities,퇴직급여,780385402,정확매핑,퇴직급여,780385402.0,-
OFS,CF,dart_AdjustmentsForReversalsOfImpairmentLossesOnIntangibleAssets,무형자산손상차손환입,,정확매핑,무형자산손상차손환입,,-
OFS,CF,dart_AdjustmentsForWritedownsOfInventories,재고자산평가손실,,정확매핑,재고자산평가손실,,-
OFS,CF,-표준계정코드 미사용-,재고자산평가이익,-64434051,기타강등,기타 중요 계정,-64434051.0,-
OFS,CF,-표준계정코드 미사용-,재고자산처분이익,-2788058,정확매핑,재고자산처분이익,-2788058.0,-
OFS,CF,ifrs-full_AdjustmentsForAmortisationExpense,무형자산상각비,144503463,정확매핑,무형자산상각비,144503463.0,-
OFS,CF,ifrs-full_AdjustmentsForDepreciationExpense,감가상각비(유형자산),2430781070,정확매핑,감가상각비,2430781070.0,-
OFS,CF,ifrs-full_AdjustmentsForIncomeTaxExpense,법인세비용(수익),479648371,정확매핑,법인세비용조정,479648371.0,-
OFS,CF,ifrs-full_AdjustmentsForInterestExpense,이자비용,539759343,정확매핑,이자비용(CF),539759343.0,-
OFS,CF,ifrs-full_AdjustmentsForInterestIncome,이자수익,416503729,정확매핑,이자수익조정,416503729.0,-
OFS,CF,ifrs-full_DividendsReceived,수입배당금,8200200,정확매핑,배당금수취(CF2),8200200.0,-
OFS,CF,ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금의 수취,8200200,정확매핑,배당금수취,8200200.0,-
OFS,CF,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 납부(환급),942020110,정확매핑,법인세납부,942020110.0,-
OFS,CF,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,535924547,정확매핑,이자지급,535924547.0,-
OFS,CF,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,407345951,정확매핑,이자수취,407345951.0,-
OFS,CF,ifrs-full_ProfitLoss,당기순이익(손실),7852171722,기타강등,기타 중요 계정,7852171722.0,-
OFS,CF,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화표시 현금및현금성자산의 환율변동효과,2428760,정확매핑,현금환율변동효과,2428760.0,-
OFS,CF,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),1116868777,정확매핑,현금및현금성자산순증감,1116868777.0,-
OFS,SCE,dart_EquityAtBeginningOfPeriod,기초자본,18696175000,SCE보존,(SCE 2D),,자본 [구성요소]|자본금 [구성요소]
OFS,SCE,dart_EquityAtBeginningOfPeriod,기초자본,43508767908,SCE보존,(SCE 2D),,자본 [구성요소]|이익잉여금 [구성요소]
OFS,SCE,dart_EquityAtBeginningOfPeriod,기초자본,10306276848,SCE보존,(SCE 2D),,자본 [구성요소]|기타포괄손익누계액 [구성요소]
OFS,SCE,dart_EquityAtBeginningOfPeriod,기초자본,75763757343,SCE보존,(SCE 2D),,별도재무제표 [member]
OFS,SCE,dart_EquityAtBeginningOfPeriod,기초자본,3252537587,SCE보존,(SCE 2D),,자본 [구성요소]|자본잉여금 [구성요소]
OFS,SCE,ifrs-full_DividendsPaid,소유주에 대한 배분으로 인식된 배당금,-1486478700,SCE보존,(SCE 2D),,별도재무제표 [member]
OFS,SCE,ifrs-full_DividendsPaid,소유주에 대한 배분으로 인식된 배당금,-1486478700,SCE보존,(SCE 2D),,자본 [구성요소]|이익잉여금 [구성요소]
OFS,SCE,ifrs-full_Equity,자본총계,18696175000,SCE보존,(SCE 2D),,자본 [구성요소]|자본금 [구성요소]
OFS,SCE,ifrs-full_Equity,자본총계,49924835362,SCE보존,(SCE 2D),,자본 [구성요소]|이익잉여금 [구성요소]
OFS,SCE,ifrs-full_Equity,자본총계,10278521047,SCE보존,(SCE 2D),,자본 [구성요소]|기타포괄손익누계액 [구성요소]
OFS,SCE,ifrs-full_Equity,자본총계,82152068996,SCE보존,(SCE 2D),,별도재무제표 [member]
OFS,SCE,ifrs-full_Equity,자본총계,3252537587,SCE보존,(SCE 2D),,자본 [구성요소]|자본잉여금 [구성요소]
OFS,SCE,ifrs-full_OtherComprehensiveIncome,기타포괄손익,22618631,SCE보존,(SCE 2D),,별도재무제표 [member]
OFS,SCE,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익-공정가치측정지분상품평가손익,17715631,SCE보존,(SCE 2D),,별도재무제표 [member]
OFS,SCE,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익-공정가치측정지분상품평가손익,17715631,SCE보존,(SCE 2D),,자본 [구성요소]|기타포괄손익누계액 [구성요소]
OFS,SCE,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의재측정요소,50374432,SCE보존,(SCE 2D),,별도재무제표 [member]
OFS,SCE,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의재측정요소,50374432,SCE보존,(SCE 2D),,자본 [구성요소]|이익잉여금 [구성요소]
OFS,SCE,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,토지재평가이익,,SCE보존,(SCE 2D),,별도재무제표 [member]
OFS,SCE,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,토지재평가이익,,SCE보존,(SCE 2D),,자본 [구성요소]|기타포괄손익누계액 [구성요소]
OFS,SCE,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,부의지분법자본변동,-45471432,SCE보존,(SCE 2D),,별도재무제표 [member]
OFS,SCE,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,부의지분법자본변동,-45471432,SCE보존,(SCE 2D),,자본 [구성요소]|기타포괄손익누계액 [구성요소]
OFS,SCE,ifrs-full_ProfitLoss,당기순이익(손실),7852171722,SCE보존,(SCE 2D),,별도재무제표 [member]
OFS,SCE,ifrs-full_ProfitLoss,당기순이익(손실),7852171722,SCE보존,(SCE 2D),,자본 [구성요소]|이익잉여금 [구성요소]
